Kanji	Hiragana	English
愛情	あいじょう	love,affection
合図	あいず	sign,signal
愛する	あいする	to love
	あいにく	unfortunately,Sorry, but....
明かり	あかり	lamplight,light (in general),brightness
空き	あき	room,time to spare,emptiness
明らか	あきらか	obvious,evident,clear
飽きる	あきる	to get tired of,to lose interest in,to have enough
握手	あくしゅ	handshake
悪魔	あくま	devil,demon,evil spirit
明ける	あける	to dawn,to become daylight
預ける	あずける	to give into custody,to entrust,to deposit
汗	あせ	sweat,perspiration
与える	あたえる	to give,to present,to award
辺り	あたり	vicinity,nearby
当たる	あたる	to be hit,to be successful,to be equivalent to
	あちこち	here and there
扱う	あつかう	to handle,to deal with,to treat
集まり	あつまり	gathering,meeting,assembly,collection
当てる	あてる	to hit,to apply a patch
跡	あと	(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar
	あと	(1) trace,tracks,(2) remains,ruins,(3) scar
穴	あな	hole
浴びる	あびる	to bathe,to bask in the sun,to shower
油	あぶら	oil
誤り	あやまり	error
粗	あら	defect,flaw,blemish,weak point
嵐	あらし	storm,tempest
新た	あらた	new,fresh,novel
	あらゆる	all,every
表す	あらわす	to express,to show,to reveal
現す	あらわす	to show,to indicate,to display
現れ	あらわれ	embodiment,materialization
現れる	あらわれる	(1) to appear,to come in sight,to become visible,(2) to express oneself
或	ある	a certain...,some...
	あるいは	or,possibly
泡	あわ	bubble,foam,froth,head on beer
合わせる	あわせる	to join together,to be opposite,to face,to unite
哀れ	あわれ	helpless,pity,sorrow,grief
案	あん	plan,suffix meaning draft
暗記	あんき	memorization,learning by heart
安定	あんてい	stability,equilibrium
案内	あんない	information,guidance,leading
	あんなに	to that extent,to that degree
	あんまり	not very,not much,remainder,rest
胃	い	stomach
委員	いいん	committee member
意外	いがい	unexpected,surprising
息	いき	breath,tone
勢い	いきおい	force,vigor,energy,spirit
生き物	いきもの	living thing,animal
幾つ	いくつ	how many?,how old?
医師	いし	doctor,physician
意思	いし	intention,purpose
維持	いじ	maintenance,preservation
意識	いしき	consciousness,senses
異常	いじょう	strangeness,abnormality,disorder
泉	いずみ	spring,fountain
	いずれ	where,which,who
以前	いぜん	ago,since,before,previous
板	いた	board,plank
偉大	いだい	greatness
抱く	いだく	(sl) to embrace,to hug,to harbour,to entertain
	いたずら	tease,prank,trick,practical joke
至る	いたる	to come,to arrive
	いち	market,fair
位置	いち	place,situation,position,location
一時	いちじ	moment,time
一度に	いちどに	all at once
市場	いちば	(the) market (as a concept)
一家	いっか	a house,a home,a family,a household
一種	いっしゅ	a species,a kind,a variety
一瞬	いっしゅん	a moment,an instant
一生	いっしょう	whole life,a lifetime,all through life
一層	いっそう	much more,still more,all the more
一体	いったい	(1) one object,one body,(2) what on earth?,really?,(3) generally
一致	いっち	(1) coincidence,agreement,(2) conformity
一般	いっぱん	general,liberal,universal,ordinary,average
一方	いっぽう	(1) on the other hand,(2) meanwhile,(3) only,simple,in turn
	いつまでも	forever,for good,eternally,as long as one likes,indefinitely
移動	いどう	removal,migration,movement
従兄弟	いとこ	cousin (male)
稲	いね	rice-plant
居眠り	いねむり	dozing,nodding off
違反	いはん	violation (of law),transgression,infringement,breach
衣服	いふく	clothes
居間	いま	living room (western style)
今に	いまに	before long,even now
今にも	いまにも	at any time,soon
否	いや	no,the noes
以来	いらい	since,henceforth
依頼	いらい	(1) request,commission,dispatch,(2) dependence,trust
	いらいら	getting nervous,irritation
医療	いりょう	medical care,medical treatment
岩	いわ	rock,crag
祝い	いわい	celebration,festival
祝う	いわう	to congratulate,to celebrate
言わば	いわば	so to speak
	いわゆる	the so-called,so to speak
印刷	いんさつ	printing
引退	いんたい	retire
引用	いんよう	quotation,citation
上	うわ	upper,outer,surface
魚	うお	fish
	うがい	gargle,rinse mouth
受け取る	うけとる	to receive,to get,to accept,to take
動かす	うごかす	to move,to shift
失う	うしなう	to lose,to part with
疑う	うたがう	to doubt,to distrust,to be suspicious of,to suspect
内	うち	inside
宇宙	うちゅう	universe,cosmos,space
撃つ	うつ	to attack,to defeat,to destroy
移す	うつす	to remove,to transfer,to infect
訴える	うったえる	to sue (a person),to resort to,to appeal to
	うなる	to groan,to moan
奪う	うばう	to snatch away
梅	うめ	plum,plum-tree,lowest (of a three-tier ranking system)
売れる	うれる	to be sold
噂	うわさ	rumour,report,gossip,common talk
うん	（感）	fortune,luck
運	うん	fortune,luck
運転	うんてん	operation,motion,driving
柄	え	handle,grip
永久	えいきゅう	eternity,perpetuity,immortality
影響	えいきょう	influence,effect
営業	えいぎょう	business,trade,management
衛星	えいせい	satellite
栄養	えいよう	nutrition,nourishment
描く	えがく	to draw,to paint,to sketch,to depict,to describe
餌	えさ	feed,bait
得る	える	to get,to gain,to win
得る	うる	to get,to gain,to win
延期	えんき	postponement,adjournment
演技	えんぎ	acting,performance
援助	えんじょ	assistance,aid,support
演説	えんぜつ	speech,address
演奏	えんそう	musical performance
老い	おい	old age,old person,the old,the aged
追い付く	おいつく	to overtake,to catch up (with)
王	おう	king,ruler,sovereign,monarch
追う	おう	to chase,to run after
王様	おうさま	king
王子	おうじ	prince
応じる	おうじる	to respond,to satisfy,to accept,to comply with,to apply for
横断	おうだん	crossing
終える	おえる	to finish
大いに	おおいに	very,much,greatly
覆う	おおう	to cover,to hide,to conceal,to wrap,to disguise
	オーバー	(1) overcoat,(2) over
大家	おおや	rich family,distinguished family
丘	おか	hill,height,knoll,rising ground
沖	おき	open sea
奥	おく	interior,inner part
幼い	おさない	very young,childish
収める	おさめる	to obtain,to reap,to pay,to supply,to accept
	おしゃべり	chattering,talk,idle talk
汚染	おせん	pollution,contamination
	おそらく	perhaps
恐れる	おそれる	to fear,to be afraid of
お互い	おたがい	mutual,reciprocal,each other
穏やか	おだやか	calm,gentle,quiet
劣る	おとる	to fall behind,to be inferior to
帯	おび	band (e.g. conduction, valence)
溺れる	おぼれる	to be drowned,to indulge in
お目に掛かる	おめにかかる	I can see you
主に	おもに	mainly,primarily
思わず	おもわず	unintentional,spontaneous
	およそ	about,roughly,as a rule,approximately
及ぼす	およぼす	to exert,to cause,to exercise
居る	おる	to be (animate),to be,to exist
下す	おろす	to lower,to let go down
降ろす	おろす	to take down,to launch,to drop
音	おん	sound,note
恩	おん	favour,obligation,debt of gratitude
温暖	おんだん	warmth
温度	おんど	temperature
可	か	passable
課	か	counter for chapters (of a book)
会	かい	meeting,assembly,party,association,club
害	がい	injury,harm,evil influence,damage
会員	かいいん	member,the membership
絵画	かいが	picture
海外	かいがい	foreign,abroad,overseas
会計	かいけい	account,finance,accountant
解決	かいけつ	settlement,solution,resolution
会合	かいごう	meeting,assembly
外交	がいこう	diplomacy
開始	かいし	start,commencement,beginning
解釈	かいしゃく	explanation,interpretation
外出	がいしゅつ	outing,going out
改善	かいぜん	betterment,improvement
快適	かいてき	pleasant,agreeable,comfortable
回復	かいふく	recovery (from illness),improvement,rehabilitation,restoration
替える	かえる	to exchange,to interchange,to substitute,to replace
換える	かえる	to exchange,to interchange,to substitute,to replace
香り	かおり	aroma,fragrance,scent,smell
画家	がか	painter,artist
抱える	かかえる	to hold or carry under or in the arms
価格	かかく	price,value,cost
輝く	かがやく	to shine,to glitter,to sparkle
係	かかり	official,duty,person in charge
罹る	かかる	to suffer from
限る	かぎる	to restrict,to limit,to confine
描く	かく	to draw,to paint,to sketch,to depict,to describe
家具	かぐ	furniture
額	がく	forehead,brow
覚悟	かくご	resolution,resignation,readiness,preparedness
確実	かくじつ	certainty,reliability,soundness
学者	がくしゃ	scholar
学習	がくしゅう	study,learning
隠す	かくす	to hide,to conceal
拡大	かくだい	magnification,enlargement
確認	かくにん	affirmation,confirmation
学問	がくもん	scholarship,study,learning
隠れる	かくれる	to hide,to be hidden,to conceal oneself,to disappear
欠ける	かける	to be lacking
加減	かげん	addition and subtraction,allowance for
過去	かこ	the past,bygone days,the previous
籠	かご	basket,cage
囲む	かこむ	to surround,to encircle
火災	かさい	conflagration,fire
貸し	かし	loan,lending
