Kanji	Hiragana	English	SuccessRate
明らか	あきらか	obvious, evident, clear	0.75
解決	かいけつ	settlement, solution, resolution	0.67
	やっと	at last	0.83
減らす	へらす	to abate, to decrease, to diminish, to shorten	0.75
便り	たより	news, tidings, information, correspondence, letter	0.8
資本	しほん	funds, capital	0.84
囲む	かこむ	to surround, to encircle	0.84
覆う	おおう	to cover, to hide, to conceal, to wrap, to disguise	0.84
作業	さぎょう	work, operation, manufacturing, fatigue duty	0.78
噂	うわさ	rumour, report, gossip, common talk	0.82
欠陥	けっかん	defect, fault, deficiency	0.79
間	ま	space, room, time, pause	0.86
道徳	どうとく	morals	0.76
平等	びょうどう	equality (a), impartiality, evenness	0.83
否定	ひてい	negation, denial, repudiation	0.84
主要	しゅよう	chief, main, principal, major	0.84
左右	さゆう	(1) left and right, (2) influence, control, domination	0.87
製品	せいひん	manufactured goods, finished goods	0.82
尤も	もっとも	quite right, plausible, natural, but then, although	0.87
打つ	うつ	to hit	0.93
諺	ことわざ	proverb, maxim	0.8
会計	かいけい	account, finance, accountant	0.82
角	すみ	horn	0.81
隠れる	かくれる	to hide, to be hidden, to conceal oneself, to disappear	0.74
議論	ぎろん	argument, discussion, dispute	0.78
	ところで	by the way, even if, no matter what	0.87
激しい	はげしい	violent, vehement, intense	0.81
品物	しなもの	goods	0.79
絹	きぬ	silk	0.87
通じる	つうじる	to run to, to lead to, to communicate, to understand	0.87
見物	けんぶつ	sightseeing	0.76
転ぶ	ころぶ	to fall down, to fall over	0.93
技師	ぎし	engineer, technician	0.82
党	とう	party (political)	0.93
骨折	こっせつ	bone fracture	0.87
開始	かいし	start, commencement, beginning	0.81
章	しょう	(1) chapter, section, (2) medal	0.87
資源	しげん	resources	0.87
批評	ひひょう	criticism, review, commentary	0.87
	きっと	surely	0.79
経由	けいゆ	go by the way, via	0.77
	ほぼ	almost, roughly, approximately	0.79
科目	かもく	(school) subject, curriculum, course	0.73
金額	きんがく	amount of money	0.84
範囲	はんい	extent, scope, sphere, range	0.65
冷静	れいせい	calm, composure, coolness, serenity	0.77
	さっぱり	feeling refreshed, feeling relieved, neat, trimmed	0.86
急速	きゅうそく	rapid (e.g. progress)	0.82
幼い	おさない	very young, childish	0.8
加わる	くわわる	to join in, to accede to, to increase, to gain in (influence)	0.76
実行	じっこう	practice, performance, execution (e.g. program), realization	0.77
盛ん	さかん	popularity, prosperous	0.83
傾向	けいこう	tendency, trend, inclination	0.7
僅か	わずか	only, merely, a little, small quantity	0.81
刺激	しげき	stimulus, impetus, incentive	0.86
予防	よぼう	prevention, precaution, protection against	0.86
非常	ひじょう	emergency, extraordinary, unusual	0.71
生産	せいさん	production, manufacture	0.86
	やがて	before long, soon, at length	0.77
	あらゆる	all, every	0.74
解釈	かいしゃく	explanation, interpretation	0.86
活用	かつよう	conjugation, practical use	0.72
直に	じかに	immediately, readily, directly	0.86
操作	そうさ	operation, management, processing	0.75
炎	ほのお	flame	0.8
拡大	かくだい	magnification, enlargement	0.7
講義	こうぎ	lecture	0.83
一言	ひとこと	single word	0.85
騒音	そうおん	noise	0.8
全員	ぜんいん	all members (unanimity), all hands, the whole crew	0.91
料金	りょうきん	fee, charge, fare	0.82
通す	とおす	to let pass, to overlook, to continue	0.91
次第	しだい	(1) order, precedence, (2) circumstances, (3) immediate(ly)	0.79
都市	とし	town, city, municipal, urban	0.88
限る	かぎる	to restrict, to limit, to confine	0.68
候補	こうほ	candidacy	0.79
熱帯	ねったい	tropics	0.81
稼ぐ	かせぐ	to earn income, to labor	0.71
輝く	かがやく	to shine, to glitter, to sparkle	0.83
玄関	げんかん	entry hall	0.87
上達	じょうたつ	improvement, advance, progress	0.85
素	もと	prime	0.82
粉	こな	flour, meal, powder	0.82
様	よう	way, manner, kind	0.87
組織	そしき	(1) organization, (2) structure, construction, (3) tissue, (4) system	0.74
節約	せつやく	economising, saving	0.74
方向	ほうこう	direction, course, way	0.81
具体	ぐたい	concrete, tangible, material	0.8
答案	とうあん	examination paper, examination script	0.85
豊か	ゆたか	abundant, wealthy, plentiful, rich	0.72
機会	きかい	opportunity	0.77
裏	うら	reverse side	0.76
新た	あらた	new, fresh, novel	0.8
柔らかい	やわらかい	soft	0.73
飾る	かざる	to decorate	0.75
棒	ぼう	pole, rod, stick	0.88
設備	せつび	equipment, device, facilities, installation	0.79
	これら	these	0.83
見当	けんとう	be found, aim, estimate, guess, approx	0.77
議員	ぎいん	member of the Diet,  congress or parliament	0.88
住所	じゅうしょ	an address, a residence	0.82
恩	おん	favour, obligation, debt of gratitude	0.84
縦	たて	length, height	0.88
脇	わき	side	0.88
出版	しゅっぱん	publication	0.88
陽気	ようき	season, weather, cheerfulness	0.8
基づく	もとづく	to be grounded on, to be based on, to be due to, to originate from	0.83
柄	がら	hilt (of a sword), haft (of a dagger), handgrip	0.77
越す	こす	to go over (e.g. with audience)	0.82
宿	やど	inn, lodging	0.83
区別	くべつ	distinction, differentiation, classification	0.88
微笑む	ほほえむ	to smile	0.82
依頼	いらい	(1) request, commission, dispatch, (2) dependence, trust	0.81
日付	ひづけ	date, dating	0.88
警告	けいこく	warning, advice	0.76
結局	けっきょく	after all, eventually	0.83
省く	はぶく	to omit, to eliminate, to curtail, to economize	0.78
一家	いっか	a house, a home, a family, a household	0.87
注ぐ	つぐ	to pour (into), to irrigate, to pay	0.76
太陽	たいよう	sun, solar	0.88
同一	どういつ	identity, sameness, similarity	0.84
それ	（接。感）	it, that	1.0
品	ひん	thing, article, goods, dignity, article (goods), counter for meal courses	0.88
灰皿	はいざら	ashtray	0.67
状態	じょうたい	condition, situation, circumstances, state	0.77
職	しょく	employment	0.78
油	あぶら	oil	0.7
予約	よやく	reservation	1.0
具合	ぐあい	condition, health	0.85
火災	かさい	conflagration, fire	0.85
増す	ます	to increase, to grow	0.88
影響	えいきょう	influence, effect	0.83
縄	なわ	rope, hemp	0.93
用	よう	use	0.88
遅刻	ちこく	lateness, late coming	0.88
偉大	いだい	greatness	0.78
	いらいら	getting nervous, irritation	0.88
	あんな	such	0.88
治る	なおる	to be cured, to heal	0.88
生	せい	(1) draft (beer), (2) raw, unprocessed	1.0
支給	しきゅう	payment, allowance	0.82
化粧	けしょう	make-up (cosmetic)	0.88
案	あん	plan, suffix meaning draft	0.88
世の中	よのなか	society, the world, the times	0.8
都	と	metropolitan	0.88
	ストーブ	heater	0.88
解ける	とける	to come untied, to come apart	0.88
訪問	ほうもん	call, visit	0.88
親友	しんゆう	close friend, buddy	0.88
	そっくり	all, altogether, entirely, be just like, the splitting image of	1.0
分	ぶん	dividing, part, segment	0.88
緊張	きんちょう	tension, mental strain, nervousness	0.88
近頃	ちかごろ	lately, recently, nowadays	0.85
昼間	ひるま	daytime, during the day	0.88
実験	じっけん	experiment	0.86
計	けい	plan	0.85
祖父	そふ	grandfather	0.85
情報	じょうほう	information, (military) intelligence	0.81
	おそらく	perhaps	0.85
	それに	moreover	0.85
人気	にんき	sign of life	0.85
悩む	なやむ	to be worried, to be troubled	0.85
絵画	かいが	picture	0.82
有利	ゆうり	advantageous, better, profitable, lucrative	0.77
霧	きり	fog, mist	1.0
大使館	たいしかん	embassy	0.85
米	こめ	uncooked rice	1.0
軒	のき	eaves	0.78
入院	にゅういん	hospitalization	0.88
支払	しはらい	payment	0.82
似る	にる	to be similar	0.78
台所	だいどころ	kitchen	0.88
受け取る	うけとる	to receive, to get, to accept, to take	0.88
筋肉	きんにく	muscle, sinew	0.88
講演	こうえん	lecture, address	0.77
端	はし	end (e.g. of street), edge, tip, margin, point	0.88
凍る	こおる	to freeze, to be frozen over, to congeal	0.88
無事	ぶじ	safety, peace, quietness	0.88
金属	きんぞく	metal	0.88
球	きゅう	globe, sphere, ball	0.88
下宿	げしゅく	lodging	0.86
曇る	くもる	to become cloudy, to become dim	1.0
無	む	nothing, naught, nil, zero	1.0
入学	にゅうがく	entry to school or university, matriculation	1.0
成功	せいこう	success, hit	0.83
大半	たいはん	majority, mostly, generally	0.88
広告	こうこく	advertisement	0.8
陸	りく	six (used in legal documents)	0.88
