Kanji	Hiragana	English	TimesMissed	TimesCorrect
放	ホウ,ホウ./はな.す,-っぱな.し,はな.つ,はな.れる,こ.く	set free, release, fire, shoot, emit, banish, liberate	2	6
辞	ジ/や.める,いな.む	resign, word, term, expression	2	7
類	ルイ/たぐ.い	sort, kind, variety, class, genus	2	7
神	シン,ジン/かみ,かん-,こう	gods, mind, soul	2	12
優	ユウ,ウ,マサ./やさ.しい,すぐ.れる	tenderness, excel, surpass, actor, superiority, gentleness	1	5
欲	ヨク/ほっ.する,ほ.しい	longing, covetousness, greed, passion, desire, craving	1	5
険	ケン/けわ.しい	precipitous, inaccessible place, impregnable position, steep place, sharp eyes	1	5
煙	エン,ケム./けむ.る,けむり	smoke	1	5
暗	アン/くら.い	darkness, disappear, shade, informal, grow dark, be blinded	1	5
緒	ショ,チョ,イトグ/お	thong, beginning, inception, end, cord, strap	1	5
旅	リョ/たび	trip, travel	1	5
礼	レイ,ラ/	salute, bow, ceremony, thanks, remuneration	1	5
別	ベツ,ワ.ケ/わか.れる	separate, branch off, diverge, fork, another, extra, specially	1	5
同	ドウ/おな.じ	same, agree, equal	1	5
変	ヘン/か.わる,か.わり,か.える	unusual, change, strange	1	5
強	キョウ,ゴウ,コワ./つよ.い,つよ.まる,つよ.める,し.いる	strong	1	5
争	ソウ/あらそ.う,いか.でか	contend, dispute, argue	1	5
収	シュウ,オサ.マ/おさ.める	income, obtain, reap, pay, supply, store	1	5
王	オウ,-ノ/	king, rule, magnate	1	6
元	ゲン,ガン,モ/	beginning, former time, origin	1	6
歯	シ/よわい,は,よわ.い,よわい.する	tooth, cog	1	6
馬	バ/うま,うま-	horse	1	6
割	カツ/わ.る,わり,わ.り,わ.れる,さ.く	proportion, comparatively, divide, cut, separate, split	1	6
係	ケイ/かか.る,かかり,-がかり,かか.わる	person in charge, connection, duty, concern oneself	1	6
仕	シ,ジ/つか.える	attend, doing, official, serve	1	6
商	ショウ,アキナ./	make a deal, selling, dealing in, merchant	1	6
相	ソウ,ショウ/あい	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy	1	6
役	ヤク,エ/	duty, war, campaign, drafted labor, office, service, role	1	6
負	フ/ま.ける,ま.かす,お.う	defeat, negative, -, minus, bear, owe, assume a responsibility	1	6
家	カ,ケ,ウ/いえ,や	house, home	1	6
歩	ホ,ブ,フ,アユ./ある.く	walk, counter for steps	1	6
帰	キ/かえ.る,かえ.す,おく.る,とつ.ぐ	homecoming, arrive at, lead to, result in	1	6
式	シ/	style, ceremony, rite, function, method, system, form, expression	1	7
備	ビ,ツブサ./そな.える,そな.わる	equip, provision, preparation	1	7
申	シン/もう.す,もう.し-,さる	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac	1	7
偉	イ,エラ./	admirable, greatness, remarkable, conceited, famous, excellent	1	7
特	トク/	special	1	7
歌	カ/うた,うた.う	song, sing	1	7
便	ベン,ビン/たよ.り	convenience	1	7
息	ソク/いき	breath, respiration, son, interest (on money)	1	7
歳	サイ,セイ/とし,とせ,よわい	year-end, age, occasion, opportunity	1	7
様	ヨウ,ショウ/さま,さん	Esq., way, manner, situation, polite suffix	1	7
受	ジュ,ウ.カ/う.ける,-う.け	accept, undergo, answer (phone), take, get, catch, receive	1	7
伝	デン,テン,ツ/つた.わる,つた.える,つた.う,つだ.う,-づた.い	transmit, go along, walk along, follow, report, communicate, legend, tradition	1	7
遠	エン,オン,トオ./	distant, far	1	7
予	ヨ,シャ/あらかじ.め	beforehand, previous, myself, I	1	7
化	カ,ケ/ば.ける,ば.かす,ふ.ける,け.する	change, take the form of, influence, enchant, delude, -ization	1	7
界	カイ/	world	0	5
字	ジ/あざ,あざな,-な	character, letter, word, section of village	0	5
父	フ/ちち	father	0	5
足	ソク,タ./あし,た.りる,た.る	leg, foot, be sufficient, counter for pairs of footwear	0	5
内	ナイ,ダイ,ウ/	inside, within, between, among, house, home	0	5
半	ハン,ナカ./	half, middle, odd number, semi-, part-	0	5
古	コ,-フル./ふる.い,ふる-	old	0	6
電	デン/	electricity	0	6
世	セイ,セ,ソウ,サンジュ/よ	generation, world, society, public	0	6
送	ソウ/おく.る	escort, send	0	6
探	タン/さぐ.る,さが.す	grope, search, look for	0	6
肉	ニク/	meat	0	7
妹	マイ,イモウ/	younger sister	0	7
番	バン,ツガ./	turn, number in a series	0	7
流	リュウ,ル,-ナガ./なが.れる,なが.れ,なが.す	current, a sink, flow, forfeit	0	7
止	シ,-サ./と.まる,-ど.まり,と.める,-と.める,-ど.め,とど.める,とど.め,とど.まる,や.める,や.む,-や.む,よ.	stop, halt	0	7
行	コウ,ギョウ,アン,オコ.ナ/い.く,ゆ.く,-ゆ.き,-ゆき,-い.き,-いき,おこな.う	going, journey	0	7
好	コウ,イ./この.む,す.く,よ.い	fond, pleasing, like something	0	7
命	メイ,ミョウ/いのち	fate, command, decree, destiny, life, appoint	0	7
支	/しんよう,じゅうまた	branch, support, sustain	0	7
雨	ウ/あめ,あま-,-さめ	rain	0	7
南	ナン,ナ,ミナ/	south	0	7
建	ケン,コン,タ./た.てる,た.て,-だ.て	build	0	7
具	グ,ツブサ./そな.える	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture	0	7
社	シャ,ヤシ/	company, firm, office, association, shrine	0	7
赤	セキ,シャク,アカ.ラメ/あか,あか-,あか.い,あか.らむ	red	0	7
和	ワ,オ,カ,ナゴ.ヤ/やわ.らぐ,やわ.らげる,なご.む	harmony, Japanese style, peace, soften, Japan	0	7
草	ソウ,-グ/くさ,くさ-	grass, weeds, herbs, pasture, write, draft	0	7
楽	ガク,ラク,ゴウ,コノ./たの.しい,たの.しむ	music, comfort, ease	0	7
空	クウ,ムナ.シ/そら,あ.く,あ.き,あ.ける,から,す.く,す.かす	empty, sky, void, vacant, vacuum	0	7
忘	ボウ/わす.れる	forget	0	7
持	ジ,モ.テ/も.つ,-も.ち	hold, have	0	7
終	シュウ,ツイ./お.わる,-お.わる,おわ.る,お.える,つい	end, finish	0	7
